ts,status,device,command,priority,reason,queue_latency_ms,cmd_drop_rate,cmd_delay_ms,queue_size_after_dispatch
2026-05-09T03:02:55.856530+00:00,dispatched,ac,off,2,no-motion-timeout,1.63,0.0,0,0
2026-05-09T03:03:02.286965+00:00,dispatched,ac,off,2,no-motion-timeout,0.39,0.0,0,0
2026-05-09T03:03:08.721622+00:00,dispatched,ac,off,2,no-motion-timeout,0.53,0.0,0,0
2026-05-09T03:03:15.154017+00:00,dispatched,ac,off,2,no-motion-timeout,1.47,0.0,0,0
2026-05-09T03:03:21.591016+00:00,dispatched,ac,off,2,no-motion-timeout,0.56,0.0,0,0
2026-05-09T03:03:28.029098+00:00,dispatched,ac,off,2,no-motion-timeout,0.26,0.0,0,0
2026-05-09T03:03:34.464461+00:00,dispatched,ac,off,2,no-motion-timeout,0.69,0.0,0,0
2026-05-09T03:03:40.897989+00:00,dispatched,ac,off,2,no-motion-timeout,0.52,0.0,0,0
2026-05-09T03:03:47.338157+00:00,dispatched,ac,off,2,no-motion-timeout,0.51,0.0,0,0
2026-05-09T03:03:53.771616+00:00,dispatched,ac,off,2,no-motion-timeout,0.45,0.0,0,0
2026-05-09T03:04:00.209586+00:00,dispatched,ac,off,2,no-motion-timeout,0.53,0.0,0,0
2026-05-09T03:04:06.652628+00:00,dispatched,ac,off,2,no-motion-timeout,1.53,0.0,0,0
2026-05-09T03:04:13.081198+00:00,dispatched,ac,off,2,no-motion-timeout,0.46,0.0,0,0
2026-05-09T03:04:19.516007+00:00,dispatched,ac,off,2,no-motion-timeout,0.55,0.0,0,0
2026-05-09T03:04:25.950892+00:00,dispatched,ac,off,2,no-motion-timeout,0.41,0.0,0,0
2026-05-09T03:04:32.381723+00:00,dispatched,ac,off,2,no-motion-timeout,0.54,0.0,0,0
2026-05-09T03:04:38.819428+00:00,dispatched,ac,off,2,no-motion-timeout,0.42,0.0,0,0
2026-05-09T03:04:45.258496+00:00,dispatched,ac,off,2,no-motion-timeout,0.65,0.0,0,0
2026-05-09T03:04:51.694359+00:00,dispatched,ac,off,2,no-motion-timeout,0.4,0.0,0,0
2026-05-09T03:04:58.136333+00:00,dispatched,ac,off,2,no-motion-timeout,0.48,0.0,0,0
2026-05-09T03:05:04.566822+00:00,dispatched,ac,off,2,no-motion-timeout,0.5,0.0,0,0
2026-05-09T03:05:10.988804+00:00,dispatched,ac,off,2,no-motion-timeout,0.2,0.0,0,0
2026-05-09T03:05:17.423241+00:00,dispatched,ac,off,2,no-motion-timeout,0.32,0.0,0,0
2026-05-09T03:05:23.854427+00:00,dispatched,ac,off,2,no-motion-timeout,0.49,0.0,0,0
2026-05-09T03:05:30.290952+00:00,dispatched,ac,off,2,no-motion-timeout,0.32,0.0,0,0
2026-05-09T03:05:36.725703+00:00,dispatched,ac,off,2,no-motion-timeout,0.4,0.0,0,0
2026-05-09T03:05:43.152707+00:00,dispatched,ac,off,2,no-motion-timeout,0.4,0.0,0,0
2026-05-09T03:05:49.585487+00:00,dispatched,ac,off,2,no-motion-timeout,0.51,0.0,0,0
2026-05-09T03:05:56.020145+00:00,dispatched,ac,off,2,no-motion-timeout,0.14,0.0,0,0
2026-05-09T03:06:02.452529+00:00,dispatched,ac,off,2,no-motion-timeout,0.49,0.0,0,0
2026-05-09T03:06:08.886502+00:00,dispatched,ac,off,2,no-motion-timeout,0.56,0.0,0,0
2026-05-09T03:06:15.322562+00:00,dispatched,ac,off,2,no-motion-timeout,0.44,0.0,0,0
2026-05-09T03:06:21.750137+00:00,dispatched,ac,off,2,no-motion-timeout,0.6,0.0,0,0
2026-05-09T03:06:28.187408+00:00,dispatched,ac,off,2,no-motion-timeout,0.45,0.0,0,0
2026-05-09T03:06:34.646879+00:00,dispatched,ac,off,2,no-motion-timeout,0.56,0.0,0,0
2026-05-09T03:06:41.076771+00:00,dispatched,ac,off,2,no-motion-timeout,0.41,0.0,0,0
2026-05-09T03:06:47.509093+00:00,dispatched,ac,off,2,no-motion-timeout,0.42,0.0,0,0
2026-05-09T03:06:53.943541+00:00,dispatched,ac,off,2,no-motion-timeout,0.37,0.0,0,0
2026-05-09T03:07:00.374484+00:00,dispatched,ac,off,2,no-motion-timeout,0.43,0.0,0,0
2026-05-09T03:07:06.815872+00:00,dispatched,ac,off,2,no-motion-timeout,1.43,0.0,0,0
2026-05-09T03:07:13.255649+00:00,dispatched,ac,off,2,no-motion-timeout,0.25,0.0,0,0
2026-05-09T03:07:19.691719+00:00,dispatched,light,off,3,ambient-bright,495.76,0.0,0,0
2026-05-09T03:07:27.726647+00:00,dispatched,light,on,2,door-open-dark,466.02,0.0,0,0
2026-05-09T03:08:05.224365+00:00,dispatched,alarm,on,1,night-door-anomaly,743.47,0.0,0,1
2026-05-09T03:08:06.030520+00:00,dispatched,light,on,2,door-open-dark,1550.44,0.0,0,0
2026-05-09T03:08:09.243791+00:00,dispatched,alarm,off,2,occupancy-confirmed,268.48,0.0,0,0
2026-05-09T03:08:23.715540+00:00,dispatched,light,on,2,door-open-dark,156.33,0.0,0,0
2026-05-09T03:08:46.231279+00:00,dispatched,ac,off,2,no-motion-timeout,0.41,0.0,0,0
2026-05-09T03:08:52.667109+00:00,dispatched,ac,off,2,no-motion-timeout,0.71,0.0,0,0
2026-05-09T03:09:02.313738+00:00,dispatched,light,on,2,door-open-dark,657.97,0.0,0,0
2026-05-09T03:09:17.035910+00:00,dispatched,light,off,3,ambient-bright,218.3,0.0,0,0
2026-05-09T03:09:23.474430+00:00,dispatched,light,off,3,ambient-bright,0.45,0.0,0,0
2026-05-09T03:09:29.912464+00:00,dispatched,light,off,3,ambient-bright,0.5,0.0,0,0
2026-05-09T03:09:36.351948+00:00,dispatched,light,off,3,ambient-bright,0.5,0.0,0,0
2026-05-09T03:10:35.575001+00:00,dispatched,ac,off,2,no-motion-timeout,0.6,0.0,0,0
2026-05-09T03:10:53.582058+00:00,dispatched,light,on,2,door-open-dark,349.64,0.0,0,0
2026-05-09T03:10:59.685243+00:00,dispatched,light,on,2,door-open-dark,47.18,0.0,0,0
2026-05-09T03:12:04.335792+00:00,dispatched,light,off,3,ambient-bright,398.05,0.0,0,0
2026-05-09T03:12:14.453424+00:00,dispatched,light,off,3,ambient-bright,94.19,0.0,0,0
2026-05-09T03:13:56.860111+00:00,dispatched,light,on,2,door-open-dark,33.39,0.0,0,0
2026-05-09T03:14:13.425096+00:00,dispatched,alarm,on,1,night-door-anomaly,161.23,0.0,0,1
2026-05-09T03:14:14.231837+00:00,dispatched,light,on,2,door-open-dark,968.33,0.0,0,0
2026-05-09T03:14:17.450890+00:00,dispatched,alarm,off,2,occupancy-confirmed,0.38,0.0,0,0
2026-05-09T03:14:18.569081+00:00,dispatched,alarm,off,2,occupancy-confirmed,540.43,0.0,0,0
2026-05-09T03:15:15.644232+00:00,dispatched,light,off,3,ambient-bright,554.73,0.0,0,0
2026-05-09T03:15:16.150145+00:00,dispatched,light,off,3,ambient-bright,712.61,0.0,0,0
2026-05-09T03:16:31.195095+00:00,dispatched,alarm,on,1,night-door-anomaly,239.15,0.0,0,1
2026-05-09T03:16:32.000675+00:00,dispatched,light,on,2,door-open-dark,1045.03,0.0,0,0
2026-05-09T03:16:35.220195+00:00,dispatched,alarm,off,2,occupancy-confirmed,229.74,0.0,0,0
2026-05-09T03:16:58.226347+00:00,dispatched,light,on,2,door-open-dark,88.68,0.0,0,0
2026-05-09T03:18:15.709906+00:00,dispatched,light,off,3,ambient-bright,36.28,0.0,0,0
2026-05-09T03:18:16.205062+00:00,dispatched,light,off,3,ambient-bright,651.57,0.0,0,0
2026-05-09T03:18:25.352194+00:00,dispatched,light,off,3,ambient-bright,0.55,0.0,0,0
2026-05-09T03:18:31.786554+00:00,dispatched,light,off,3,ambient-bright,0.41,0.0,0,0
2026-05-09T03:18:38.225842+00:00,dispatched,light,off,3,ambient-bright,0.51,0.0,0,0
2026-05-09T03:18:41.140741+00:00,dispatched,light,off,3,ambient-bright,0.44,0.0,0,0
2026-05-09T03:19:32.915321+00:00,dispatched,light,on,2,door-open-dark,509.65,0.0,0,0
2026-05-09T03:20:10.357892+00:00,dispatched,alarm,on,1,night-door-anomaly,395.96,0.0,0,0
2026-05-09T03:20:13.576786+00:00,dispatched,alarm,off,2,occupancy-confirmed,0.48,0.0,0,0
2026-05-09T03:20:22.427412+00:00,dispatched,alarm,on,1,night-door-anomaly,421.8,0.0,0,1
2026-05-09T03:20:23.234369+00:00,dispatched,light,on,2,door-open-dark,1228.84,0.0,0,0
2026-05-09T03:20:28.062377+00:00,dispatched,alarm,off,2,occupancy-confirmed,32.28,0.0,0,0
2026-05-09T03:20:29.669009+00:00,dispatched,light,on,2,door-open-dark,133.75,0.0,0,0
2026-05-09T03:21:04.241059+00:00,dispatched,light,off,3,ambient-bright,83.05,0.0,0,0
2026-05-09T03:21:15.026296+00:00,dispatched,light,off,3,ambient-bright,0.6,0.0,0,0
2026-05-09T03:22:36.730075+00:00,dispatched,alarm,on,1,night-door-anomaly,349.84,0.0,0,1
2026-05-09T03:22:37.536631+00:00,dispatched,light,on,2,door-open-dark,1156.9,0.0,0,0
2026-05-09T03:22:39.435659+00:00,dispatched,alarm,on,1,night-door-anomaly,31.63,0.0,0,1
2026-05-09T03:22:40.242736+00:00,dispatched,light,on,2,door-open-dark,838.98,0.0,0,0
2026-05-09T03:22:40.750089+00:00,dispatched,alarm,off,2,occupancy-confirmed,270.87,0.0,0,0
2026-05-09T03:22:44.262302+00:00,dispatched,alarm,off,2,occupancy-confirmed,718.84,0.0,0,0
2026-05-09T03:22:45.574145+00:00,dispatched,light,on,2,door-open-dark,583.54,0.0,0,0
2026-05-09T03:23:07.287690+00:00,dispatched,alarm,on,1,night-door-anomaly,710.52,0.0,0,1
2026-05-09T03:23:08.093228+00:00,dispatched,light,on,2,door-open-dark,1516.12,0.0,0,0
2026-05-09T03:23:09.702683+00:00,dispatched,alarm,off,2,occupancy-confirmed,635.68,0.0,0,0
2026-05-09T03:23:12.402572+00:00,dispatched,alarm,off,2,occupancy-confirmed,788.97,0.0,0,0
2026-05-09T03:23:16.138389+00:00,dispatched,alarm,off,2,occupancy-confirmed,0.13,0.0,0,0
2026-05-09T03:23:20.161581+00:00,dispatched,light,on,2,door-open-dark,567.61,0.0,0,0
2026-05-09T03:23:32.510525+00:00,dispatched,alarm,on,1,night-door-anomaly,761.67,0.0,0,1
2026-05-09T03:23:33.317484+00:00,dispatched,light,on,2,door-open-dark,1568.85,0.0,0,0
2026-05-09T03:23:36.531561+00:00,dispatched,alarm,off,2,occupancy-confirmed,330.23,0.0,0,0
2026-05-09T03:23:37.840445+00:00,dispatched,light,on,2,door-open-dark,185.93,0.0,0,0
2026-05-09T03:24:16.717430+00:00,dispatched,light,off,3,ambient-bright,704.82,0.0,0,0
