2026-05-09 11:07:24,203 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:25,205 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:26,212 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:27,215 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:27,727 | INFO | device | Device light state changed: off -> on
2026-05-09 11:07:28,222 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:29,230 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:30,237 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:31,245 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:32,254 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:33,262 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:34,268 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:35,275 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:36,282 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:37,290 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:38,295 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:39,302 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:40,305 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:41,312 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:42,320 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:43,328 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:44,336 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:45,343 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:46,351 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:47,355 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:48,363 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:49,368 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:50,375 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:51,382 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:52,388 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:53,394 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:54,403 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:55,412 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:56,416 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:57,424 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:58,431 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:59,439 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:00,446 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:01,451 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:02,460 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:03,467 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:04,471 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:05,225 | INFO | device | Device alarm state changed: off -> on
2026-05-09 11:08:05,477 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:06,453 | INFO | device | Device light unchanged (on)
2026-05-09 11:08:06,484 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:07,491 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:08,499 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:09,244 | INFO | device | Device alarm state changed: on -> off
2026-05-09 11:08:09,506 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:10,510 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:11,519 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:12,527 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:13,535 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:14,538 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:15,544 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:16,549 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:17,555 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:18,563 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:19,571 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:20,578 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:21,586 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:22,594 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:23,596 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:24,564 | INFO | device | Device light unchanged (on)
2026-05-09 11:08:24,606 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:25,615 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:26,620 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:27,627 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:28,631 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:29,637 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:30,645 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:31,652 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:32,659 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:33,668 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:34,674 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:35,679 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:36,686 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:37,689 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:38,693 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:39,700 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:40,705 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:41,711 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:42,718 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:43,725 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:44,732 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:45,741 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:46,704 | INFO | device | Device ac unchanged (off)
2026-05-09 11:08:46,748 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:47,754 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:48,758 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:49,762 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:50,769 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:51,776 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:52,740 | INFO | device | Device ac unchanged (off)
2026-05-09 11:08:52,785 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:53,790 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:54,795 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:55,799 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:56,806 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:57,812 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:58,816 | INFO | device | Connected to MQTT broker.
2026-05-09 11:08:59,822 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:00,830 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:01,839 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:02,801 | INFO | device | Device light unchanged (on)
2026-05-09 11:09:02,842 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:03,848 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:04,853 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:05,861 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:06,869 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:07,874 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:08,882 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:09,887 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:10,892 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:11,897 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:12,904 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:13,909 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:14,916 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:15,925 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:16,929 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:17,919 | INFO | device | Device light unchanged (off)
2026-05-09 11:09:17,934 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:18,937 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:19,943 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:20,949 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:21,952 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:22,958 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:23,956 | INFO | device | Device light unchanged (off)
2026-05-09 11:09:23,965 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:24,970 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:25,972 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:26,976 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:27,980 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:28,984 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:29,987 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:30,994 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:32,003 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:33,012 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:34,016 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:35,022 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:36,030 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:36,353 | INFO | device | Device light state changed: on -> off
2026-05-09 11:09:37,039 | INFO | device | Connected to MQTT broker.
2026-05-09 11:09:38,044 | INFO | device | Connected to MQTT broker.
