run_id,experiment,mode,latency_ms,drop_rate,offline_rate,scenario_id,start_at,end_at
12,latency_response,fault_tolerant,100,0.05,0.02,alarm_05,186.0,191.0
12,latency_response,fault_tolerant,100,0.05,0.02,alarm_06,228.0,233.0
13,latency_response,fault_tolerant,100,0.05,0.02,alarm_01,18.0,23.0
13,latency_response,fault_tolerant,100,0.05,0.02,alarm_02,60.0,65.0
13,latency_response,fault_tolerant,100,0.05,0.02,alarm_03,102.0,107.0
13,latency_response,fault_tolerant,100,0.05,0.02,alarm_04,144.0,149.0
13,latency_response,fault_tolerant,100,0.05,0.02,alarm_05,186.0,191.0
13,latency_response,fault_tolerant,100,0.05,0.02,alarm_06,228.0,233.0
14,latency_response,fault_tolerant,100,0.05,0.02,alarm_01,18.0,23.0
14,latency_response,fault_tolerant,100,0.05,0.02,alarm_02,60.0,65.0
14,latency_response,fault_tolerant,100,0.05,0.02,alarm_03,102.0,107.0
14,latency_response,fault_tolerant,100,0.05,0.02,alarm_04,144.0,149.0
14,latency_response,fault_tolerant,100,0.05,0.02,alarm_05,186.0,191.0
14,latency_response,fault_tolerant,100,0.05,0.02,alarm_06,228.0,233.0
15,latency_response,fault_tolerant,100,0.05,0.02,alarm_01,18.0,23.0
15,latency_response,fault_tolerant,100,0.05,0.02,alarm_02,60.0,65.0
15,latency_response,fault_tolerant,100,0.05,0.02,alarm_03,102.0,107.0
15,latency_response,fault_tolerant,100,0.05,0.02,alarm_04,144.0,149.0
15,latency_response,fault_tolerant,100,0.05,0.02,alarm_05,186.0,191.0
15,latency_response,fault_tolerant,100,0.05,0.02,alarm_06,228.0,233.0
16,latency_response,fault_tolerant,100,0.05,0.02,alarm_01,18.0,23.0
16,latency_response,fault_tolerant,100,0.05,0.02,alarm_02,60.0,65.0
16,latency_response,fault_tolerant,100,0.05,0.02,alarm_03,102.0,107.0
16,latency_response,fault_tolerant,100,0.05,0.02,alarm_04,144.0,149.0
16,latency_response,fault_tolerant,100,0.05,0.02,alarm_05,186.0,191.0
16,latency_response,fault_tolerant,100,0.05,0.02,alarm_06,228.0,233.0
17,latency_response,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
17,latency_response,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
17,latency_response,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
17,latency_response,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
17,latency_response,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
17,latency_response,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
18,latency_response,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
18,latency_response,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
18,latency_response,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
18,latency_response,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
18,latency_response,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
18,latency_response,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
19,latency_response,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
19,latency_response,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
19,latency_response,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
19,latency_response,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
19,latency_response,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
19,latency_response,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
20,latency_response,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
20,latency_response,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
20,latency_response,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
20,latency_response,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
20,latency_response,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
20,latency_response,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
21,latency_response,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
21,latency_response,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
21,latency_response,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
21,latency_response,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
21,latency_response,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
21,latency_response,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
22,latency_response,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
22,latency_response,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
22,latency_response,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
22,latency_response,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
22,latency_response,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
22,latency_response,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
23,latency_response,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
23,latency_response,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
23,latency_response,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
23,latency_response,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
23,latency_response,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
23,latency_response,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
24,latency_response,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
24,latency_response,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
24,latency_response,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
24,latency_response,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
24,latency_response,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
24,latency_response,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
25,latency_response,fault_tolerant,500,0.05,0.02,alarm_01,18.0,23.0
25,latency_response,fault_tolerant,500,0.05,0.02,alarm_02,60.0,65.0
25,latency_response,fault_tolerant,500,0.05,0.02,alarm_03,102.0,107.0
25,latency_response,fault_tolerant,500,0.05,0.02,alarm_04,144.0,149.0
25,latency_response,fault_tolerant,500,0.05,0.02,alarm_05,186.0,191.0
25,latency_response,fault_tolerant,500,0.05,0.02,alarm_06,228.0,233.0
